iter	Passed	Remaining
415	2772	3892
416	2778	3884
417	2784	3877
418	2790	3869
419	2796	3861
420	2802	3853
421	2808	3846
422	2814	3839
423	2821	3832
424	2828	3826
425	2834	3819
426	2841	3812
427	2848	3807
428	2855	3800
429	2861	3792
430	2868	3786
431	2875	3780
432	2881	3773
433	2888	3766
434	2894	3759
435	2901	3753
436	2907	3746
437	2914	3739
438	2920	3732
439	2927	3725
440	2933	3717
441	2939	3710
442	2945	3704
443	2952	3696
444	2958	3689
445	2964	3682
446	2971	3676
447	2977	3668
448	2983	3661
449	2989	3654
450	2995	3646
451	3001	3639
452	3007	3631
453	3014	3624
454	3019	3617
455	3025	3609
456	3031	3602
457	3037	3595
458	3043	3587
459	3049	3580
460	3056	3573
461	3062	3566
462	3069	3559
463	3074	3551
464	3081	3544
465	3087	3537
466	3092	3529
467	3099	3522
468	3105	3516
469	3112	3509
470	3119	3503
471	3127	3498
472	3133	3491
473	3140	3485
474	3147	3478
475	3153	3471
476	3160	3465
477	3166	3458
478	3173	3451
479	3180	3445
480	3186	3438
481	3194	3433
482	3201	3426
483	3207	3419
484	3214	3413
485	3221	3407
486	3228	3400
487	3235	3394
488	3242	3388
489	3249	3382
490	3256	3376
491	3264	3370
492	3271	3364
493	3278	3358
494	3286	3353
495	3295	3348
496	3303	3343
497	3310	3337
498	3317	3331
499	3325	3325
500	3332	3319
501	3339	3312
502	3346	3306
503	3352	3299
504	3359	3292
505	3365	3286
506	3372	3279
507	3378	3272
508	3385	3265
509	3392	3259
510	3398	3252
511	3405	3245
512	3411	3239
513	3418	3232
514	3425	3225
515	3432	3219
516	3438	3212
517	3444	3205
518	3451	3198
519	3457	3191
520	3464	3184
521	3470	3177
522	3476	3170
523	3482	3163
524	3488	3156
525	3494	3149
526	3501	3142
527	3507	3135
528	3514	3128
529	3519	3121
530	3525	3114
531	3531	3106
532	3537	3099
533	3543	3092
534	3550	3085
535	3556	3079
536	3562	3071
537	3568	3064
538	3574	3057
539	3580	3050
540	3586	3043
541	3592	3035
542	3598	3028
543	3604	3021
544	3610	3014
545	3616	3007
546	3622	3000
547	3628	2993
548	3635	2986
549	3641	2979
550	3647	2972
551	3653	2964
552	3659	2957
553	3665	2950
554	3670	2943
555	3676	2936
556	3682	2929
557	3688	2921
558	3694	2914
559	3700	2907
560	3706	2900
561	3712	2893
562	3719	2886
563	3724	2879
564	3731	2872
565	3736	2865
566	3743	2858
567	3749	2851
568	3755	2844
569	3761	2837
570	3767	2830
571	3772	2823
572	3778	2816
573	3784	2808
574	3791	2802
575	3797	2795
576	3803	2788
577	3808	2780
578	3814	2773
579	3820	2766
580	3825	2759
581	3831	2752
582	3837	2745
583	3843	2738
584	3849	2730
585	3855	2724
586	3862	2717
587	3868	2710
588	3874	2703
589	3880	2696
590	3887	2690
591	3893	2683
592	3899	2676
593	3905	2669
594	3911	2662
595	3917	2655
596	3923	2648
597	3929	2641
598	3935	2634
599	3941	2627
600	3947	2620
601	3953	2613
602	3958	2606
603	3964	2599
604	3970	2592
605	3976	2585
606	3982	2578
607	3988	2571
608	3994	2564
609	4000	2557
610	4006	2550
611	4011	2543
612	4018	2536
613	4024	2529
614	4030	2523
615	4037	2517
616	4044	2510
617	4050	2503
618	4058	2497
619	4065	2492
620	4073	2486
621	4081	2480
622	4088	2474
623	4095	2468
624	4102	2461
625	4109	2455
626	4116	2449
627	4122	2442
628	4129	2435
629	4135	2429
630	4142	2422
631	4150	2416
632	4159	2411
633	4167	2405
634	4175	2399
635	4183	2394
636	4191	2388
637	4198	2382
638	4206	2376
639	4214	2370
640	4221	2364
641	4229	2358
642	4236	2352
643	4244	2346
644	4252	2340
645	4259	2334
