iter	MultiClass
120	0.3841487425
121	0.3837229335
122	0.3830840489
123	0.3826986764
124	0.3822267805
125	0.3819047111
126	0.3811989355
127	0.3806424265
128	0.3800963289
129	0.3796044379
130	0.379288839
131	0.3788702889
132	0.378354373
133	0.3776167085
134	0.3771963001
135	0.3767191805
136	0.3759918323
137	0.3756734572
138	0.3754441424
139	0.375160478
140	0.3743126389
141	0.3739158336
142	0.3736589303
143	0.3732777881
144	0.372843525
145	0.372485732
146	0.3722238172
147	0.3718947957
148	0.3714078786
149	0.3709373133
150	0.3706922787
151	0.3702348097
152	0.3699271431
153	0.3691984756
154	0.3688560609
155	0.3685179499
156	0.3681249083
157	0.3678639949
158	0.3673399682
159	0.3668075131
160	0.3664355164
161	0.3661253834
162	0.3657362862
163	0.3654693716
164	0.3651516846
165	0.3647359966
166	0.3643465929
167	0.3640178321
168	0.3637217971
169	0.3632619143
170	0.3629886131
171	0.3626820392
172	0.3624784451
173	0.3621209294
174	0.3618149513
175	0.3616090667
176	0.3612832642
177	0.3607778427
178	0.36051578
179	0.3603643718
180	0.36017373
181	0.3598011595
182	0.3594527615
183	0.3592330833
184	0.3589824752
185	0.3587808294
186	0.3581653569
187	0.357814332
188	0.3574809539
189	0.3570560648
190	0.3566139798
191	0.3562798092
192	0.3559521712
193	0.3557055567
194	0.3552158517
195	0.3548517799
196	0.3545180147
197	0.3541063817
198	0.3539247166
199	0.3536455151
200	0.3533916679
201	0.3530988171
202	0.3527999375
203	0.3525537694
204	0.3522872824
205	0.3520592511
206	0.3518310733
207	0.3516832363
208	0.3513962077
209	0.3511386838
210	0.3509948199
211	0.3507969492
212	0.3504923061
213	0.3503363749
214	0.3501546787
215	0.3498976021
216	0.3496958815
217	0.3494167654
218	0.3492032424
219	0.3489731776
220	0.3487120139
221	0.3485300748
222	0.3484014931
223	0.3481987151
224	0.3480070478
225	0.347698622
226	0.3474200963
227	0.3470087951
228	0.3466244399
229	0.3464531351
230	0.3461012764
231	0.3458449478
232	0.3455612719
233	0.345151801
234	0.3449965551
235	0.3448152593
236	0.3444925182
237	0.3443173829
238	0.344054754
239	0.343845723
240	0.3435985448
241	0.3431537631
242	0.3429611523
243	0.3427773906
244	0.3425812053
245	0.3423842125
246	0.3422793519
247	0.3417925973
248	0.3415133119
249	0.3413822609
250	0.341134521
251	0.3409631568
252	0.3407949988
253	0.3405266552
254	0.3402964676
255	0.3401575468
256	0.3397797784
257	0.3395929634
258	0.3391771314
259	0.3390019625
260	0.3387465307
261	0.3385072834
262	0.338472257
263	0.3382523522
264	0.3379277728
265	0.3377263643
266	0.3375764391
267	0.3375327393
268	0.3372359382
269	0.3371049948
270	0.3369301125
271	0.3367465702
272	0.3365395534
273	0.3363854792
274	0.336316977
275	0.3360186696
276	0.3357641797
277	0.3353420852
278	0.3352290679
279	0.3350265777
280	0.3348897812
281	0.3347634791
282	0.3345888552
283	0.3344469146
284	0.3342423893
285	0.333872746
286	0.3336183412
287	0.3334608606
288	0.3332666401
289	0.3331222802
290	0.3326863803
291	0.3325139547
292	0.3322850345
293	0.3321164174
294	0.3319192194
295	0.3316678392
296	0.3314439696
297	0.3313550244
298	0.3311532472
299	0.3310222577
300	0.3308577831
301	0.330728934
302	0.3305687427
303	0.3304119131
304	0.3303151911
305	0.3300777365
306	0.3299495861
307	0.3296944364
308	0.3295693486
309	0.329485139
310	0.3293564276
311	0.3291548986
312	0.3289898097
313	0.3287874509
314	0.3285692979
315	0.3282885165
316	0.3279218557
317	0.3277126369
318	0.3275811228
319	0.3274084029
320	0.3272363999
321	0.327068199
322	0.3268421066
323	0.3266769875
324	0.3265728219
325	0.3263949529
326	0.3262157426
327	0.3260823624
328	0.3258827372
329	0.3257381945
330	0.3256542974
331	0.3253623504
332	0.3251868195
333	0.3249990193
334	0.3248437872
335	0.3247401737
336	0.3246013358
337	0.3244099983
338	0.324249275
339	0.3240479547
340	0.3236908395
341	0.323553484
342	0.3232121101
343	0.3229818981
344	0.322787914
345	0.3226644812
346	0.3222122359
347	0.3219100055
348	0.3217869738
349	0.321498047
350	0.3214238305
351	0.3212470778
352	0.3210706159
353	0.3209257197
354	0.3207618376
355	0.3203476579
356	0.320120385
357	0.3200244625
358	0.3199371983
359	0.319832363
360	0.3196604003
361	0.3195433938
362	0.3193675715
363	0.3191795588
364	0.318784156
365	0.3186676107
366	0.318589195
367	0.3184482754
368	0.3182468504
369	0.318051966
370	0.3178777084
371	0.3177211733
372	0.3174644626
373	0.3173192585
374	0.3172103954
375	0.3171013655
376	0.3169375301
377	0.3167142674
378	0.3166713936
379	0.3164698447
380	0.3162495662
381	0.316103129
382	0.3159720737
383	0.3158796872
384	0.3157622228
385	0.3155280578
386	0.3154001113
387	0.3152301583
388	0.3150939176
389	0.314927417
390	0.3146040237
391	0.314508014
392	0.3144423264
393	0.314411311
394	0.3142632102
395	0.314185686
396	0.3139943369
397	0.3138026052
398	0.3136807422
399	0.3135660398
400	0.313460206
401	0.3132686142
402	0.3131821337
403	0.3131063007
404	0.3130366944
405	0.312906024
406	0.3128284827
407	0.3126949418
408	0.3125167617
409	0.3124128948
410	0.3122569211
411	0.3121378836
412	0.3118959841
413	0.3117517703
414	0.3116663998
415	0.3115336527
416	0.3114224968
417	0.3113437513
418	0.3111653509
419	0.3109391829
420	0.3107751309
421	0.3107429307
422	0.3105698548
423	0.3104268405
424	0.3103521402
425	0.3101147179
426	0.309979024
427	0.3098653635
428	0.3095508582
429	0.309442553
430	0.3093735968
431	0.3092185817
432	0.30914119
433	0.3089847762
434	0.3089125953
435	0.3086397082
436	0.3085513813
437	0.3083433611
438	0.3080993085
439	0.3079980658
440	0.3079377733
441	0.3077963622
442	0.3076436338
443	0.3074087664
444	0.3072101739
445	0.3070803481
446	0.3068949502
447	0.3067491003
448	0.3066390622
449	0.3064745856
450	0.3063215327
451	0.3061172443
452	0.306053947
453	0.3059562187
454	0.3059032801
455	0.3057461854
456	0.3053753969
457	0.3052611029
458	0.3051496813
459	0.305047077
460	0.3049608609
461	0.3047576881
462	0.3045947233
463	0.3044865387
464	0.304235362
465	0.3041639969
466	0.3040969138
467	0.303982561
468	0.3038838959
469	0.3038061401
470	0.303664882
471	0.3035619353
472	0.3034210618
473	0.3032144176
474	0.3030815329
475	0.3029901449
476	0.3028597569
477	0.3028012177
478	0.3026753561
479	0.302534305
480	0.3024012229
481	0.302204862
482	0.3021156797
483	0.3020247204
484	0.3019016725
485	0.301825607
486	0.3017451804
487	0.301673752
488	0.3016180907
489	0.3014588501
490	0.3011659807
491	0.3010697263
492	0.3009724556
493	0.3009285462
494	0.3008707392
495	0.3004900168
496	0.3003017475
497	0.3002350955
498	0.3001612955
499	0.3000728424
500	0.2999437574
501	0.2998561996
502	0.2996902627
503	0.2996386031
504	0.2995655947
505	0.299334932
506	0.2992891518
507	0.2992040268
508	0.2991388124
509	0.2990254752
510	0.2989657327
511	0.2988289119
512	0.2987562482
513	0.2986522815
514	0.2983337116
515	0.2981763899
516	0.2981176152
517	0.2980232984
518	0.2979241526
519	0.2978180274
520	0.2977027116
521	0.2974588743
522	0.2972915137
523	0.2971878826
524	0.2971237238
525	0.2970408485
526	0.2969103812
527	0.2968542942
528	0.2967408951
529	0.2966750208
530	0.2965634447
531	0.2965157445
532	0.2964295718
533	0.2962054075
534	0.2960888147
535	0.2959723731
536	0.2959083891
537	0.2958711538
538	0.2957029945
539	0.2956134834
540	0.295419956
541	0.2952942913
542	0.2951390768
543	0.2950830083
544	0.2948970034
545	0.2947845308
546	0.2946787686
547	0.2945309305
548	0.2943137484
549	0.2942074055
550	0.2940988892
551	0.2940351577
552	0.2939667797
553	0.2938566117
554	0.2937959027
555	0.293681863
556	0.293512954
557	0.2933697685
558	0.2932325288
559	0.2930010946
560	0.2928271207
561	0.2927583156
562	0.2926486545
563	0.2924538217
564	0.2923515354
565	0.2922412467
566	0.292150873
567	0.2918958247
568	0.2916783505
569	0.2915456164
570	0.2914188497
571	0.2912784172
572	0.2911759543
573	0.2911048227
574	0.2909520015
575	0.2909144188
576	0.2908233723
577	0.2907502203
578	0.290653273
579	0.2904904133
580	0.2904691324
581	0.2903817726
582	0.290084999
583	0.290031341
584	0.2899781027
585	0.2899138441
586	0.2898119938
587	0.2896674262
588	0.2896016657
589	0.2894961752
590	0.2894433484
591	0.2893849741
592	0.2892881064
593	0.289206354
594	0.28911063
595	0.28908648
596	0.2889384402
597	0.2888594776
598	0.2887466785
599	0.288646206
600	0.2884989181
601	0.2884452183
602	0.2883045703
603	0.288210553
604	0.2880961899
605	0.2880085067
606	0.2879365683
607	0.2878971892
608	0.2877868424
609	0.2877632175
610	0.2876493324
611	0.2874870475
612	0.2873479808
613	0.2873007146
614	0.2871958224
615	0.2870998517
616	0.2870198703
617	0.2869084742
618	0.2868263919
619	0.286762111
620	0.286604294
621	0.2865211865
622	0.2864103261
623	0.2862331713
624	0.2861688989
625	0.2860826247
626	0.2859319129
627	0.2858836679
628	0.2857910156
629	0.285679765
630	0.285605471
631	0.2855353772
632	0.2854595295
633	0.2853259872
634	0.2851919409
635	0.2851342148
636	0.2849978827
637	0.2849070171
638	0.2848373894
639	0.2847349362
640	0.2846564756
641	0.2845379005
642	0.2844513668
643	0.2844123054
644	0.2843356161
645	0.2840660949
646	0.2840072133
647	0.2839310916
648	0.2837904491
649	0.28371892
650	0.2836537444
651	0.2835902165
652	0.283514989
653	0.2833929404
654	0.2832578778
655	0.2831762257
656	0.2831019304
657	0.2829669936
658	0.2828879876
659	0.282799913
660	0.2827228673
661	0.2826515796
662	0.2826123818
663	0.2825020037
664	0.2823348697
665	0.2822434601
666	0.2821647321
667	0.2819791926
668	0.281921374
669	0.2817918154
670	0.281619158
671	0.2814819482
672	0.2813782651
673	0.2813199588
674	0.2812764939
675	0.2811937314
676	0.2811046153
677	0.2809844272
678	0.2808724102
679	0.2807515131
680	0.2806270695
681	0.2805773403
682	0.2805043807
683	0.2803942089
684	0.2803506895
685	0.2802581638
686	0.2801963669
687	0.2800766562
688	0.2799644088
689	0.279778719
690	0.2796606501
691	0.2795885015
692	0.2795194422
693	0.2794928529
694	0.2794387997
695	0.2793645437
696	0.2793097635
697	0.2792467052
698	0.2792185988
699	0.2791723723
700	0.2790931971
701	0.2790791314
702	0.2789897364
703	0.2789089087
704	0.2788265792
705	0.2787685226
706	0.2786850605
707	0.2786395707
708	0.2785867028
709	0.2783695988
710	0.2781979874
711	0.2781499861
712	0.2780377568
713	0.2779052439
714	0.2778574744
715	0.2778098496
716	0.2777878505
717	0.2776934371
718	0.2776557832
719	0.2776103882
720	0.2774258954
721	0.2773438299
722	0.2772734879
723	0.2772220174
724	0.2771489984
725	0.277045704
726	0.2770071073
727	0.2769498624
728	0.2768618794
729	0.276782995
730	0.2766224969
731	0.276555583
732	0.2764659662
733	0.2763811859
734	0.2762821315
735	0.2762171971
736	0.2761761903
737	0.2761122865
738	0.2760078663
739	0.2759389455
740	0.2758138801
741	0.275735229
742	0.2755950958
743	0.2754707486
744	0.275393203
745	0.2753071231
746	0.2752753415
747	0.2751237191
748	0.2750591769
749	0.2749737357
750	0.2748717292
751	0.2747173285
752	0.2746814488
753	0.2745414584
754	0.2745088775
755	0.2744608321
756	0.2744087433
757	0.2743125249
758	0.2742356265
759	0.2740952928
760	0.2740379131
761	0.2738432006
762	0.2737865292
763	0.2736894648
764	0.2736290804
765	0.2735477091
766	0.273435796
767	0.2733811418
768	0.2733296853
769	0.2733032034
770	0.2731776661
771	0.2731291255
772	0.2730940846
773	0.2730118542
774	0.2729512152
775	0.2728870538
776	0.2728173013
777	0.2727325867
778	0.2726519569
779	0.2726012267
780	0.2724835988
781	0.2724583333
782	0.2724298152
783	0.272317212
784	0.2722050656
785	0.2721248088
786	0.2718757804
787	0.2717922271
788	0.2715907306
789	0.2714212704
790	0.2712485231
791	0.2711853548
792	0.2710745863
793	0.2710310671
794	0.2708442078
795	0.2708069548
796	0.2707185098
797	0.2706652978
798	0.2705992431
799	0.2705544994
800	0.2704815684
801	0.2703690118
802	0.2703195156
803	0.2702508907
804	0.2701993295
805	0.2701528001
806	0.2700195844
807	0.2699624471
808	0.2698219149
809	0.2697309991
810	0.2696720893
811	0.2696578236
812	0.2695923519
813	0.2694599581
814	0.269373264
815	0.2693092467
816	0.2692503958
817	0.2692014286
818	0.2691162674
819	0.2690029251
820	0.2689454202
821	0.2688843294
822	0.2686836996
823	0.2685886089
824	0.2684977011
825	0.2684667383
826	0.2684095161
827	0.2683109862
828	0.2682821956
829	0.268228102
830	0.268142971
831	0.268103798
832	0.2680555162
833	0.2680148714
834	0.2679329569
835	0.2677993564
836	0.2677537613
837	0.2676743392
838	0.2676085327
839	0.2675717937
840	0.2674368004
841	0.2673675289
842	0.2673298521
843	0.2672692743
844	0.2671966578
845	0.2671493595
846	0.2669202989
847	0.2668774963
848	0.2668092286
849	0.2667779234
850	0.2667242628
851	0.2666062578
852	0.2664332366
853	0.2663865291
854	0.2663582107
855	0.2662731688
856	0.2662342614
857	0.2661655609
858	0.2661082822
859	0.2660091928
860	0.2659745359
861	0.265881659
862	0.2658445044
863	0.2658019929
864	0.2657790832
865	0.2657232729
866	0.2656194959
867	0.2655853846
868	0.2654219631
869	0.2653731949
870	0.2653438846
871	0.2653150172
872	0.2652079737
873	0.2651726843
874	0.2650930362
875	0.2649842948
876	0.2649424677
877	0.2648470808
878	0.2647234812
879	0.2646446312
880	0.2645296493
881	0.2644877449
882	0.2644241548
883	0.2644010499
884	0.2642860594
885	0.2642127684
886	0.2641013776
887	0.2639136291
888	0.2638584185
889	0.2637952768
890	0.2637533154
891	0.2636825244
892	0.2635571412
893	0.2635039193
894	0.2634856063
895	0.2633580761
896	0.2632008822
897	0.2631217728
898	0.2630329127
899	0.2629686023
900	0.2629125835
901	0.2628413678
902	0.2626752183
903	0.2626270788
904	0.2625885714
905	0.2625657179
906	0.2625311791
907	0.2624196935
908	0.2623479001
909	0.2622839307
910	0.2622244605
911	0.2621491992
912	0.2620837841
913	0.2619959022
914	0.26194446
915	0.2619145696
916	0.2618603112
917	0.2618078468
918	0.2617394563
919	0.2617240516
920	0.2616807852
921	0.2616309766
922	0.2615803094
923	0.2614937684
924	0.2614352516
925	0.2613198901
926	0.2612258427
927	0.2611698581
928	0.2611340349
929	0.2611052372
930	0.2610630497
931	0.2610274967
932	0.2609803882
933	0.2609198795
934	0.2608423487
935	0.2608214008
936	0.2607664155
937	0.2606375292
938	0.2605029912
939	0.2604521255
940	0.2603931793
941	0.2602357165
942	0.2601428651
943	0.2601080919
944	0.2599947136
945	0.2599475808
946	0.2598873481
947	0.2598309673
948	0.2597974031
949	0.259742156
950	0.2596469207
951	0.2595692779
952	0.2595124226
953	0.2594634508
954	0.2594310376
955	0.2593710718
956	0.2593464877
957	0.2592719065
958	0.2592046342
959	0.2591671482
960	0.2590588312
961	0.2588812075
962	0.2588290134
963	0.2587641721
964	0.2587293434
965	0.258688399
966	0.2585698905
967	0.2584671959
968	0.2584304733
969	0.258388037
970	0.258344042
971	0.2583014375
972	0.2582591826
973	0.2581894478
974	0.2581677749
975	0.2580783929
976	0.2580035746
977	0.2579686529
978	0.2579176756
979	0.2578773948
980	0.2578421737
981	0.2577450919
982	0.2576914261
983	0.2576099487
984	0.2575706075
985	0.2574985384
986	0.2574040226
987	0.2572452729
988	0.2571828207
989	0.2571301222
990	0.2570834637
991	0.2570454213
992	0.2570119021
993	0.2568909453
994	0.2566321826
995	0.2566179924
996	0.2565209386
997	0.2564588576
998	0.2563882406
999	0.2562976258
