,cfr,nombre,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte,Edad_buque,cluster
0,ESP000000001,ARGOÑOS,19.31,52.7,Madera,202.26,Baja Definitiva,Vicedo,Lugo,Galicia,Cerco,9,5
1,ESP000000002,MARIA INSOLINA,10.75,4.287333333333333,Madera,35.3,Baja Definitiva,Santander,Cantabria,Cantabria,Artes menores,1,10
2,ESP000000003,MOWINKEL II,11.25,6.76,Madera,44.13,Baja Definitiva,Ceuta,Ceuta,Ceuta,Palangre,15,8
3,ESP000000004,JULIA NUMERO TRES,9.15,6.6226666666666665,Madera,44.13,Baja Definitiva,Santander,Cantabria,Cantabria,Artes fijas,5,8
4,ESP000000005,SIEMPRE HERMANOS EZQUIAGA,19.6,40.0,Madera,169.16,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Artes menores,17,5
5,ESP000000006,ALEJANDRO JOSE,7.05,2.040666666666666,Madera,30.16,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,3,8
6,ESP000000007,TONETTI,7.0,4.12,Madera,27.21,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,12,8
7,ESP000000008,ANABEL,23.75,107.96933333333332,Madera,308.91,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,2,5
8,ESP000000009,NTRA.SRA.DEL CARMEN DE SAN CIPRIAN,24.25,144.17,Madera,279.49,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,6,5
9,ESP000000010,MARIA DIGNA,23.0,100.09,Madera,316.26,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,7,5
10,ESP000000011,LUZ DEL ALBA,20.94333333333333,61.78,Madera,186.82,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,10,5
11,ESP000000012,SANTA MARIA SALOME,21.42,92.94,Madera,294.2,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,5,5
12,ESP000000013,SIEMPRE BIDECHEA,10.8,4.52,Madera,33.1,Baja Definitiva,Santander,Cantabria,Cantabria,Desconocido,4,8
13,ESP000000014,SANTILLANA DEL MAR,29.3,132.0,Madera,294.2,Baja Definitiva,Santander,Cantabria,Cantabria,Arrastre,11,5
14,ESP000000015,MONTE PAJARES,19.75,60.97933333333334,Madera,209.62,Baja Definitiva,Santoña,Cantabria,Cantabria,Cerco,2,5
15,ESP000000016,SIEMPRE MARIA YOLANDA,14.419999999999998,46.55,Madera,117.68,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,8,8
16,ESP000000017,VIRGEN DEL ROCIO I,21.7,64.808,Madera,205.94,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,2,5
17,ESP000000018,MAR Y CIELO SEGUNDO,18.5,31.53,Madera,117.68,Baja Definitiva,Santoña,Cantabria,Cantabria,Palangre,13,5
18,ESP000000019,TORROPI SEGUNDO,18.4,32.43,Madera,110.32,Baja Definitiva,Javea,Alicante,Comunitat Valenciana,Palangre,16,5
19,ESP000000020,BRISAS DE LA MONTAÑA,19.25,47.67,Madera,316.26,Baja Definitiva,Aviles,Asturias,Asturias,Cerco,12,5
20,ESP000000021,MONTE PARRA,13.040666666666665,21.07,Madera,94.14,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,2,8
21,ESP000000022,LOSADA,29.0,132.0,Madera,441.3,Baja Definitiva,Santander,Cantabria,Cantabria,Arrastre,10,5
22,ESP000000023,JOSE ANGEL,8.954666666666666,3.622666666666667,Madera,33.1,Baja Definitiva,Santander,Cantabria,Cantabria,Desconocido,4,8
23,ESP000000024,NADAL,23.7,63.3,Madera,294.2,Baja Definitiva,Ceuta,Ceuta,Ceuta,Cerco,9,5
24,ESP000000025,AVENIDA SOTILEZA,12.3,10.36,Madera,88.26,Baja Definitiva,Comillas,Cantabria,Cantabria,Palangre,12,8
25,ESP000000026,CHAROLAIS,30.8,202.0,Acero,397.17,Baja Definitiva,Santander,Cantabria,Cantabria,Arrastre,17,6
26,ESP000000027,DOS PRIMAS,9.52,4.153333333333333,Madera,29.42,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,2,8
27,ESP000000028,CARBAL PRIMERO,31.85,241.0,Acero,441.3,Baja Definitiva,Vigo,Pontevedra,Galicia,Artes fijas,21,6
28,ESP000000029,JOSE LUIS,9.063999999999998,4.44,Madera,29.42,Baja Definitiva,Laredo,Cantabria,Cantabria,Artes menores,12,10
29,ESP000000030,NUEVO FLIPPER,16.566,30.6,Madera,143.42,Baja Definitiva,Cillero,Lugo,Galicia,Palangre,12,5
30,ESP000000031,ELORZA,12.2,16.448,Madera,88.26,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,2,8
31,ESP000000032,FRANPER,28.0,416.0,Acero,360.39,Baja Definitiva,Santander,Cantabria,Cantabria,Artes fijas,10,6
32,ESP000000033,SOTERO,10.25,4.25,Madera,48.54,Baja Definitiva,Andraitx,Illes balears,Illes balears,Palangre,8,8
33,ESP000000035,MANUEL MARINO,23.1,81.18733333333333,Madera,316.26,Baja Definitiva,Santander,Cantabria,Cantabria,Arrastre,2,5
34,ESP000000036,SIEMPRE ROSINA ANGEL,26.76,130.0,Madera,514.85,Baja Definitiva,Santa Eugenia de Riveira,A Coruña,Galicia,Arrastre,8,5
35,ESP000000037,COSTAS BEIVIDE SEGUNDO,18.2,30.0,Madera,139.74,Baja Definitiva,Arrecife de Lanzarote,Las Palmas,Canarias,Artes menores,12,5
36,ESP000000038,MARIA DE LOS DOLORES,10.4,5.387333333333332,Madera,46.34,Baja Definitiva,Lastres,Asturias,Asturias,Palangre,2,8
37,ESP000000040,TRINIDO,15.149333333333336,21.42,Madera,127.98,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,7,8
38,ESP000000041,CARMEN,10.25,4.25,Madera,44.13,Baja Definitiva,Santander,Cantabria,Cantabria,Artes menores,10,10
39,ESP000000042,VISI,7.05,1.46,Madera,25.74,Baja Definitiva,Santander,Cantabria,Cantabria,Artes menores,25,0
40,ESP000000043,SAN FRANCISCO JAVIER I,11.5,6.43,Madera,69.14,Baja Definitiva,Santander,Cantabria,Cantabria,Artes menores,10,10
41,ESP000000044,ESTEFANIA,5.177333333333333,1.78,Madera,6.62,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,6,10
42,ESP000000047,MAKALLO,7.4,1.89,Madera,21.33,Baja Definitiva,Santurce,Bizkaia,País Vasco,Artes menores,12,10
43,ESP000000054,DOS AMIGOS,10.124,7.416666666666667,Madera,47.81,Baja Definitiva,Guetaria,Gipuzkoa,País Vasco,Artes fijas,4,8
44,ESP000000055,AMA ANITA,9.22,3.23,Madera,46.34,Baja Definitiva,Santoña,Cantabria,Cantabria,Artes menores,15,0
45,ESP000000058,ARRITXU,12.4,10.95,Madera,94.14,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,13,10
46,ESP000000061,JESUSEN BIOTZA,5.84,0.91,Madera,6.62,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,10,10
47,ESP000000063,BETI UR TXORIA,13.65,10.76,Madera,100.76,Baja Definitiva,Ceuta,Ceuta,Ceuta,Artes menores,16,0
48,ESP000000069,MIKEL DEUNA,13.13,15.38,Madera,94.14,Baja Definitiva,Ceuta,Ceuta,Ceuta,Artes menores,15,0
49,ESP000000071,SIEMPRE ANTIGUAKO AMA,27.6,199.28,Madera,367.75,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,5,5
50,ESP000000073,CARLOS,12.4,9.39,Madera,44.13,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Palangre,7,8
51,ESP000000079,GRAN MONTSERRAT,22.5,93.0,Madera,330.97,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,13,5
52,ESP000000080,VIRGEN DE DORLETA,21.617333333333328,96.0,Madera,220.65,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,10,5
53,ESP000000082,FARO DE SANTA CATALINA,26.02,75.3,Madera,268.46,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,14,5
54,ESP000000083,PLAYA DE ONDARZABAL,26.1,116.0,Madera,312.59,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,12,5
55,ESP000000086,VIRGEN DE ARNOTEGUI,28.0,121.0,Madera,514.85,Baja Definitiva,Las Palmas - Puerto de la Luz,Las Palmas,Canarias,Artes menores,10,5
56,ESP000000089,VENUS,6.600666666666668,1.62,Madera,9.56,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,10,10
57,ESP000000091,SANTA MARIA DEL OLVIDO,13.14,9.82,Madera,75.02,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,13,10
58,ESP000000092,TORRONTERO,20.7,73.4,Madera,268.46,Baja Definitiva,Santoña,Cantabria,Cantabria,Cerco,7,5
59,ESP000000094,GURE SANTA MARIA,28.2,131.0,Madera,312.59,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,15,5
60,ESP000000095,AMAYA REYES,24.229333333333333,85.67466666666665,Madera,242.71,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
61,ESP000000096,AIRES DE BERMEO,24.229333333333333,85.67466666666665,Madera,242.71,Baja Definitiva,Santoña,Cantabria,Cantabria,Cerco,4,5
62,ESP000000097,NUEVO ROSARIO DE SANTA FE,21.125333333333334,73.124,Madera,205.94,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
63,ESP000000098,HERMANOS BULUBASTER,28.683333333333337,180.994,Madera,397.17,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
64,ESP000000099,OSTADAR,31.22,136.0,Madera,459.69,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,13,5
65,ESP000000100,IZAR ARTE,26.0,95.8,Madera,242.71,Baja Definitiva,Arrecife de Lanzarote,Las Palmas,Canarias,Artes menores,13,5
66,ESP000000101,JOHN F KENNEDY,23.0,104.0,Madera,279.49,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,9,5
67,ESP000000102,PEÑA AKATZ,31.51,122.0,Madera,514.85,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,12,5
68,ESP000000103,NUEVO ESTELA MARIS,26.489333333333335,92.0,Madera,242.71,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,5,5
69,ESP000000104,TALAPE,28.0,132.0,Madera,371.43,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,14,5
70,ESP000000105,GRAN PALOMA DE LA PAZ,24.229333333333333,85.67466666666665,Madera,242.71,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
71,ESP000000106,ARRANTZALE,28.7,146.67,Madera,353.04,Baja Definitiva,Fuenterrabia,Gipuzkoa,País Vasco,Cerco,12,5
72,ESP000000107,ARQUIMEDES,29.0,117.0,Madera,279.49,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,14,5
73,ESP000000108,NUEVO ERREÑEZUBI,34.38,144.0,Madera,312.59,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,23,1
74,ESP000000109,GURE CITA,28.967333333333336,140.0,Madera,496.46,Baja Definitiva,Fuenterrabia,Gipuzkoa,País Vasco,Cerco,11,5
75,ESP000000110,CAPRICHO VASCO,26.5,106.0,Madera,235.36,Baja Definitiva,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,Desconocido,13,5
76,ESP000000111,IRIARTE,15.4,32.22,Madera,139.74,Baja Definitiva,Ondarroa,Bizkaia,País Vasco,Palangre,10,5
77,ESP000000112,NUEVO BRISAS DE TORRONTERO,30.06,113.0,Madera,232.42,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,17,5
78,ESP000000113,SANTO NIÑO DEL REMEDIO,26.07933333333333,106.0,Madera,367.75,Baja Definitiva,Algeciras,Cádiz,Andalucía,Desconocido,9,5
79,ESP000000114,ORTUBE,37.9,182.0,Madera,514.85,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,13,6
80,ESP000000115,OTZARRI,14.8,13.326666666666666,Madera,94.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
81,ESP000000116,BETI SAN JUAN DE LUZ,18.5,42.206,Madera,136.07,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,5
82,ESP000000117,ALKARTASUNA,16.0,23.83,Madera,117.68,Baja Definitiva,Lastres,Asturias,Asturias,Palangre,14,5
83,ESP000000118,EGUN ARGIA,19.0,46.25666666666667,Madera,139.74,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,3,5
84,ESP000000119,DIVINA PASTORA,28.3,137.78,Madera,312.59,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,15,5
85,ESP000000120,ALTO DE OIZ,25.08,100.0,Madera,397.17,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,5,5
86,ESP000000122,SALVADOR DIVINO,29.64,125.0,Madera,378.78,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,11,5
87,ESP000000123,SIEMPRE GURE LOREA,27.0,126.03,Madera,371.43,Baja Definitiva,Arrecife de Lanzarote,Las Palmas,Canarias,Artes menores,20,5
88,ESP000000124,MAITASUNA,23.376666666666672,118.74533333333332,Madera,312.59,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
89,ESP000000125,IZAR ALDE,34.2,175.0,Madera,588.24,Alta Definitiva,Arrecife de Lanzarote,Las Palmas,Canarias,Cañeros,36,1
90,ESP000000126,ALBACORA OCHO,32.7,202.0,Madera,514.85,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,14,6
91,ESP000000127,ONDARTZAPE,28.87,138.0,Madera,367.75,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,19,5
92,ESP000000128,MADRE DE ALBONIGA,29.37933333333334,192.99866666666665,Madera,353.04,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
93,ESP000000129,NUEVO GRAN SAN AGUSTIN,26.37466666666667,144.33733333333333,Madera,349.36,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
94,ESP000000130,BETI ANDUIZA,18.5,42.206,Madera,136.07,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,3,5
95,ESP000000131,DIOS TE SALVE,27.0,130.0,Madera,308.91,Baja Definitiva,Fuenterrabia,Gipuzkoa,País Vasco,Cerco,19,5
96,ESP000000132,PASEO BASTARRE,30.128,116.0,Madera,514.85,Baja Definitiva,Fuenterrabia,Gipuzkoa,País Vasco,Cerco,11,5
97,ESP000000133,TORRE QUITINA,34.7,140.0,Madera,294.2,Baja Definitiva,Colindres,Cantabria,Cantabria,Cerco,6,5
98,ESP000000134,LEZOKO GURUTZE,32.4,135.0,Madera,441.3,Baja Definitiva,Ceuta,Ceuta,Ceuta,Cerco,16,5
99,ESP000000135,IZURDIA,12.129333333333332,27.21,Madera,88.26,Baja Definitiva,San Vicente de la Barquera,Cantabria,Cantabria,Palangre,10,8
100,ESP000000136,JON ANE MIREN,18.35,40.0,Madera,169.16,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,13,5
101,ESP000000137,NUESTRO SOL,15.6,22.61466666666667,Madera,117.68,Baja Definitiva,Aviles,Asturias,Asturias,Palangre,3,8
102,ESP000000138,ASKATASUNA,19.25,42.634,Madera,169.16,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,5
103,ESP000000139,ILLARGI,32.62,171.0,Madera,551.62,Baja Definitiva,Santoña,Cantabria,Cantabria,Cerco,8,6
104,ESP000000140,ITXAS LOREA,16.15,24.0,Madera,117.68,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Artes menores,13,10
105,ESP000000141,LAYUNO ZALLO,18.64,37.32,Madera,125.0,Alta Definitiva,Puerto del Carmen,Las Palmas,Canarias,Cañeros,36,7
106,ESP000000142,KRESAL GANE,13.8,14.8,Madera,91.94,Baja Definitiva,Lastres,Asturias,Asturias,Artes fijas,9,8
107,ESP000000143,BIOTZ ALAI,14.52,25.36,Madera,117.68,Baja Definitiva,Fuenterrabia,Gipuzkoa,País Vasco,Palangre,6,8
108,ESP000000144,GURE EUZKALERRIA,17.4,22.61466666666667,Madera,117.68,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
109,ESP000000145,SAN LUIS TXIKIA,18.96,47.0,Madera,264.78,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,19,5
110,ESP000000146,LAZARA Y LARRAURI,27.62,101.0,Madera,183.87,Baja Definitiva,Arrecife de Lanzarote,Las Palmas,Canarias,Cerco,13,5
111,ESP000000147,MIRANDO AL MAR,13.978666666666667,24.61,Madera,94.14,Baja Definitiva,Camariñas,A Coruña,Galicia,Palangre,6,8
112,ESP000000148,IBARLUCEA URQUIDI,12.0,11.101333333333333,Madera,51.48,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,1,8
113,ESP000000149,SANTO DOMINGO,11.92,6.35,Madera,44.13,Baja Definitiva,Mahón,Illes balears,Illes balears,Palangre,22,0
114,ESP000000150,HORIZONTE,12.0,7.582666666666668,Madera,50.01,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
115,ESP000000151,HERMANOS URIBARRI,10.8,5.65,Madera,73.55,Baja Definitiva,Ribadesella,Asturias,Asturias,Artes menores,14,0
116,ESP000000152,SAN CRISTOBAL,23.0,109.5,Madera,205.94,Baja Definitiva,Aviles,Asturias,Asturias,Cerco,17,5
117,ESP000000153,PEÑA DE ORO,23.498666666666665,113.66,Madera,250.07,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,9,5
118,ESP000000154,NUEVO PILAR,12.94,8.97,Madera,73.55,Baja Definitiva,Ceuta,Ceuta,Ceuta,Artes fijas,15,5
119,ESP000000155,AINHOA,9.5,3.6286666666666663,Madera,28.68,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
120,ESP000000156,PEÑA DE UGUERRI,27.3,122.77333333333333,Madera,312.59,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,2,5
121,ESP000000157,ABERTZALEAK,15.5,21.494000000000003,Madera,91.94,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,2,8
122,ESP000000158,BETI AZCARATE,15.5,21.73466666666667,Madera,99.29,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
123,ESP000000160,CORAZON DIVINO,14.450666666666669,21.7,Madera,91.94,Baja Definitiva,Pasajes,Gipuzkoa,País Vasco,Palangre,6,8
124,ESP000000161,ZARANDONA,14.95,15.39,Madera,94.14,Baja Definitiva,Santander,Cantabria,Cantabria,Artes menores,9,10
125,ESP000000162,JEHOVA,14.3,23.01,Madera,91.94,Baja Definitiva,Carboneras,Almería,Andalucía,Palangre,12,5
126,ESP000000163,JOVEN LUIS FERNANDO,12.56,9.67,Madera,69.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Artes menores,12,10
127,ESP000000164,ZERUKO ARTZAIN,13.8,15.2,Madera,91.94,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,8,8
128,ESP000000165,JATA MENDI,15.3,21.69333333333333,Madera,91.94,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
129,ESP000000166,IZAR ARGUIA,14.9,25.36133333333333,Madera,117.68,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
130,ESP000000167,GURE TARASKA,16.3,13.300000000000002,Madera,94.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
131,ESP000000168,LEPORRE,13.8,20.66,Madera,94.14,Baja Definitiva,Fuenterrabia,Gipuzkoa,País Vasco,Palangre,9,8
132,ESP000000169,MARIA LEPORRE,15.1,20.398666666666664,Madera,91.94,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
133,ESP000000170,ABASOLO,15.0,19.0,Madera,94.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Artes menores,17,0
134,ESP000000171,PEÑA DE LA GUIA,14.6,22.614666666666665,Madera,117.68,Baja Definitiva,Marin,Pontevedra,Galicia,Palangre,2,8
135,ESP000000172,ZUBEROA,16.5,29.282666666666668,Madera,117.68,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,3,8
136,ESP000000173,CHISU,13.8,24.5,Madera,94.14,Baja Definitiva,Laredo,Cantabria,Cantabria,Palangre,7,8
137,ESP000000175,ERROSAPE,15.9,22.75333333333333,Madera,117.68,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
138,ESP000000176,NAIARA,16.5,13.344,Madera,94.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
139,ESP000000177,GARRO,16.5,23.0,Madera,94.14,Baja Definitiva,Fuenterrabia,Gipuzkoa,País Vasco,Artes menores,11,10
140,ESP000000178,ANA BEGO,17.0,13.802,Madera,94.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
141,ESP000000179,ZUBI EDER,16.2,31.21,Madera,117.68,Baja Definitiva,Carboneras,Almería,Andalucía,Palangre,10,5
142,ESP000000180,LA FLOR DEL MAR,14.190666666666669,28.29,Madera,95.61,Baja Definitiva,Campello,Alicante,Comunitat Valenciana,Palangre,10,5
143,ESP000000181,AIKAFE,13.948666666666668,33.522,Madera,117.68,Baja Definitiva,Carboneras,Almería,Andalucía,Palangre,0,8
144,ESP000000182,BELARRIKO,16.7,32.29,Madera,139.74,Baja Definitiva,Carboneras,Almería,Andalucía,Palangre,9,5
145,ESP000000183,IBAI GANE,16.0,23.260666666666665,Madera,117.68,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
146,ESP000000184,ZER DAKAR,17.34,26.0,Madera,169.16,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,13,5
147,ESP000000185,ITXARON IZARRA,17.1,29.0,Madera,110.32,Baja Definitiva,Cartagena,Murcia,Murcia,Palangre,22,5
148,ESP000000186,ALBI,10.5,5.925333333333334,Madera,44.13,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
149,ESP000000187,GANDASEGUI,17.8,23.74,Madera,117.68,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,3,5
150,ESP000000188,ALTO DE UMBE,19.0,36.0,Madera,132.39,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Artes menores,16,5
151,ESP000000189,DIECISIETE HERMANOS,7.848666666666666,8.03,Madera,19.86,Baja Definitiva,Comillas,Cantabria,Cantabria,Palangre,5,8
152,ESP000000190,LEIBAR,6.498666666666666,2.96,Madera,8.83,Baja Definitiva,Mundaca,Bizkaia,País Vasco,Artes menores,7,10
153,ESP000000191,SUKARRIETA,16.38,35.50666666666666,Madera,169.16,Baja Definitiva,Castro Urdiales,Cantabria,Cantabria,Palangre,2,8
154,ESP000000192,FRANCISCO JORGE,17.89,26.0,Madera,176.52,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Artes menores,18,0
155,ESP000000193,AMA BEGOÑAKOA,16.0,16.93,Madera,94.14,Baja Definitiva,Comillas,Cantabria,Cantabria,Artes menores,13,10
156,ESP000000194,LAGUN BI,20.2,56.0,Madera,264.78,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,17,5
157,ESP000000195,BETI LAGUNAK,20.2,54.0,Madera,202.26,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Artes menores,20,5
158,ESP000000196,ABERRI,16.4,13.225999999999996,Madera,94.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
159,ESP000000197,LA SAGRADA FAMILIA,12.1,5.246,Madera,33.1,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,4,8
160,ESP000000199,HERMANOS JOSE ANGEL,13.0,9.55,Madera,67.67,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,7,8
161,ESP000000200,LARTITEGUI,14.5,12.79,Madera,94.14,Baja Definitiva,Ceuta,Ceuta,Ceuta,Artes menores,16,0
162,ESP000000201,ZABALETA,12.757333333333332,18.17,Madera,99.29,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,5,8
163,ESP000000202,NUEVO FLORIAN,15.0,15.924,Madera,79.43,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
164,ESP000000203,MARIA LOURDES SEGUNDO,5.937333333333333,1.5946666666666665,Madera,8.83,Baja Definitiva,Mundaca,Bizkaia,País Vasco,Desconocido,2,8
165,ESP000000204,PADRE DE LA CRUZ,15.0,27.82,Madera,95.61,Baja Definitiva,Cudillero,Asturias,Asturias,Palangre,7,8
166,ESP000000205,GUREA,9.692666666666666,4.16,Madera,50.01,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,7,8
167,ESP000000206,IRU NEBARREBAK,8.6,5.15,Madera,19.86,Baja Definitiva,Lastres,Asturias,Asturias,Palangre,8,8
168,ESP000000207,JAIME CASINA,16.2,26.59,Madera,94.14,Baja Definitiva,Santurce,Bizkaia,País Vasco,Artes menores,18,0
169,ESP000000208,BETI LUDIKO ATZEGIÑA,14.0,22.16,Madera,94.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,5,8
170,ESP000000209,EUSKADI,9.02,4.19,Madera,47.07,Baja Definitiva,Castro Urdiales,Cantabria,Cantabria,Palangre,10,8
171,ESP000000210,AZURBIA,10.0,6.022666666666667,Madera,44.13,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Desconocido,2,8
172,ESP000000211,MUGIKA,20.0,44.0,Madera,205.94,Baja Definitiva,Fuenterrabia,Gipuzkoa,País Vasco,Palangre,14,5
173,ESP000000212,BETI INCHAUSTI,16.0,21.0,Madera,94.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Artes menores,13,10
174,ESP000000213,JAVIER ETA GAISKA,12.1,9.882666666666664,Madera,75.02,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,5,8
175,ESP000000214,AGATE DEUNA,17.0,27.0,Madera,205.94,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,17,5
176,ESP000000215,BETI SALADA,8.2,2.95,Madera,25.74,Baja Definitiva,Plencia,Bizkaia,País Vasco,Artes menores,12,10
177,ESP000000217,ITXAS BEGI,20.3,37.0,Madera,136.8,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,16,5
178,ESP000000218,OKARANTZA,13.040666666666665,21.07,Madera,94.14,Baja Definitiva,Fuenterrabia,Gipuzkoa,País Vasco,Palangre,5,8
179,ESP000000219,SABIN,17.0,31.76,Madera,125.03,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
180,ESP000000220,ZERUKO IZARRA,17.5,22.93666666666667,Madera,117.68,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,3,8
181,ESP000000221,ASTRAL,15.0,13.444666666666668,Madera,94.14,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
182,ESP000000222,JUAN SEBASTIAN ELCANO,16.0,22.13133333333333,Madera,91.94,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,2,8
183,ESP000000223,SAN JUAN BOSCO,13.539333333333332,14.264666666666669,Madera,76.49,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,2,8
184,ESP000000224,SETIEN,12.044666666666666,20.05,Madera,73.55,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Palangre,7,8
185,ESP000000225,SERANTES MENDI,21.125333333333334,73.124,Madera,205.94,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,2,5
