,cfr,nombre,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte,Edad_buque,cluster
20801,ESP000051857,SAN LORENZO,4.6,0.71,Madera,10.393333333333334,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20802,ESP000051858,ANA,4.5,0.72,Madera,2.94,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,19,0
20803,ESP000051859,CHIRUCA,4.35,0.44,Madera,5.687333333333333,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20804,ESP000051860,JAVIER,5.5,0.79,Madera,5.88,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20805,ESP000051861,SPORTING GUARDES,4.4,0.61,Madera,5.15,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20806,ESP000051862,ALVARIÑA,4.2,0.54,Madera,6.864666666666667,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20807,ESP000051863,SAN SALVADOR,6.3,0.71,Madera,7.35,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20808,ESP000051864,MEIXON,6.3,0.82,Madera,13.092000000000004,Baja Definitiva,Tuy,Pontevedra,Galicia,Artes menores,5,10
20809,ESP000051865,REAL MADRID,4.82,0.93,Madera,13.384,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20810,ESP000051866,CARMENCITA,6.5,0.64,Madera,2.94,Baja Definitiva,Tuy,Pontevedra,Galicia,Artes menores,5,10
20811,ESP000051867,ESCLAVITUD,6.25,0.62,Madera,3.68,Baja Definitiva,Tuy,Pontevedra,Galicia,Artes menores,5,10
20812,ESP000051868,SAN ANTONIO,4.68,0.79,Madera,11.03,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20813,ESP000051869,DIOS LA GUARDE,4.7,2.92,Madera,6.62,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20814,ESP000051870,PAINHO,6.0,2.07,Madera,10.3,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,19,0
20815,ESP000051871,BREA,5.9,1.22,Poliester,18.38,Alta Definitiva,Noia,A Coruña,Galicia,Artes menores,36,3
20816,ESP000051872,GIRASOL,6.1,1.11,Madera,3.68,Baja Definitiva,Muros,A Coruña,Galicia,Artes menores,16,0
20817,ESP000051873,CUBELO,5.15,0.6,Madera,2.94,Baja Provisional,Muros,A Coruña,Galicia,Artes menores,36,7
20818,ESP000051874,ASUNCION,4.1,0.48,Madera,2.94,Baja Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,19,0
20819,ESP000051875,CRISTINA,4.55,0.5853333333333333,Madera,2.94,Baja Definitiva,Isla de Arosa,Pontevedra,Galicia,Desconocido,4,8
20820,ESP000051876,CODORNIZ,4.43,0.54,Madera,2.94,Baja Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,15,0
20821,ESP000051877,ALA TI,5.15,0.88,Poliester,2.94,Alta Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,36,3
20822,ESP000051878,INES,4.2,0.4,Madera,2.94,Baja Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,19,0
20823,ESP000051879,LUCIA,4.73,0.77,Poliester,14.71,Baja Provisional,Isla de Arosa,Pontevedra,Galicia,Artes menores,37,3
20824,ESP000051880,LEONTINA,4.95,0.99,Poliester,22.06,Alta Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,36,3
20825,ESP000051881,LA NIÑA,4.4,0.59,Madera,2.94,Baja Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,9,10
20826,ESP000051882,LOLIÑA,5.35,0.87,Poliester,22.06,Alta Definitiva,Ferrol,A Coruña,Galicia,Artes menores,36,3
20827,ESP000051883,MARIA,5.35,1.26,Poliester,36.76,Alta Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,36,3
20828,ESP000051884,MARIA LUISA,4.55,0.64,Madera,5.88,Baja Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,19,0
20829,ESP000051885,MARUJA,5.43,1.27,Poliester,14.71,Alta Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,36,3
20830,ESP000051886,MANUELA,4.12,0.43,Madera,2.94,Baja Definitiva,Isla de Arosa,Pontevedra,Galicia,Artes menores,19,0
20831,ESP000051887,CABO BUSTO SEGUNDO,3.85,0.38,Madera,5.196666666666666,Baja Definitiva,Luarca,Asturias,Asturias,Artes menores,23,0
20832,ESP000051888,EL BARRILON,3.9,0.37,Madera,5.8580000000000005,Baja Definitiva,Luarca,Asturias,Asturias,Artes menores,11,10
