cfr,nombre,fc_alta_rgfp,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,fc_estado,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte
ESP000000001,ARGOÑOS,1989-05-10,19.31,52.7,Madera,202.26,Baja Definitiva,1998-12-02,Vicedo,Lugo,Galicia,Cerco
ESP000000002,MARIA INSOLINA,1989-05-10,10.75,4.287333333333333,Madera,35.3,Baja Definitiva,1990-06-30,Santander,Cantabria,Cantabria,Artes menores
ESP000000003,MOWINKEL II,1989-05-10,11.25,6.76,Madera,44.13,Baja Definitiva,2005-02-16,Ceuta,Ceuta,Ceuta,Palangre
ESP000000004,JULIA NUMERO TRES,1989-05-10,9.149999999999999,6.6226666666666665,Madera,44.13,Baja Definitiva,1994-08-26,Santander,Cantabria,Cantabria,Artes fijas
ESP000000005,SIEMPRE HERMANOS EZQUIAGA,1989-05-10,19.6,40.0,Madera,169.16,Baja Definitiva,2006-11-15,Bermeo,Bizkaia,País Vasco,Artes menores
ESP000000006,ALEJANDRO JOSE,1989-05-10,7.05,2.040666666666666,Madera,30.16,Baja Definitiva,1993-02-11,Santander,Cantabria,Cantabria,Palangre
ESP000000007,TONETTI,1989-05-10,7.0,4.12,Madera,27.21,Baja Definitiva,2001-06-18,Santander,Cantabria,Cantabria,Palangre
ESP000000008,ANABEL,1989-05-10,23.75,107.96933333333332,Madera,308.91,Baja Definitiva,1992-02-27,Santander,Cantabria,Cantabria,Cerco
ESP000000009,NTRA.SRA.DEL CARMEN DE SAN CIPRIAN,1989-05-10,24.25,144.17,Madera,279.49,Baja Definitiva,1996-04-25,Santander,Cantabria,Cantabria,Cerco
ESP000000010,MARIA DIGNA,1989-05-10,23.0,100.09,Madera,316.26,Baja Definitiva,1996-08-09,Santander,Cantabria,Cantabria,Cerco
ESP000000011,LUZ DEL ALBA,1989-05-10,20.94333333333333,61.78,Madera,186.82,Baja Definitiva,1999-07-28,Santander,Cantabria,Cantabria,Cerco
ESP000000012,SANTA MARIA SALOME,1989-05-10,21.42,92.94,Madera,294.2,Baja Definitiva,1995-03-17,Santander,Cantabria,Cantabria,Cerco
ESP000000013,SIEMPRE BIDECHEA,1989-05-10,10.8,4.52,Madera,33.1,Baja Definitiva,1993-12-09,Santander,Cantabria,Cantabria,Desconocido
ESP000000014,SANTILLANA DEL MAR,1989-05-10,29.3,132.0,Madera,294.2,Baja Definitiva,2000-12-04,Santander,Cantabria,Cantabria,Arrastre
ESP000000015,MONTE PAJARES,1989-05-10,19.75,60.97933333333334,Madera,209.62,Baja Definitiva,1992-04-02,Santoña,Cantabria,Cantabria,Cerco
ESP000000016,SIEMPRE MARIA YOLANDA,1989-05-10,14.419999999999998,46.55,Madera,117.68,Baja Definitiva,1998-02-05,Santander,Cantabria,Cantabria,Palangre
ESP000000017,VIRGEN DEL ROCIO I,1989-05-10,21.7,64.808,Madera,205.94,Baja Definitiva,1991-06-28,Santander,Cantabria,Cantabria,Cerco
ESP000000018,MAR Y CIELO SEGUNDO,1989-05-10,18.5,31.53,Madera,117.68,Baja Definitiva,2003-03-05,Santoña,Cantabria,Cantabria,Palangre
ESP000000019,TORROPI SEGUNDO,1989-05-10,18.4,32.43,Madera,110.32,Baja Definitiva,2005-11-10,Javea,Alicante,Comunitat Valenciana,Palangre
ESP000000020,BRISAS DE LA MONTAÑA,1989-05-10,19.25,47.67,Madera,316.26,Baja Definitiva,2001-07-10,Aviles,Asturias,Asturias,Cerco
ESP000000021,MONTE PARRA,1989-05-10,13.040666666666665,21.07,Madera,94.14,Baja Definitiva,1991-12-31,Santander,Cantabria,Cantabria,Palangre
ESP000000022,LOSADA,1989-05-10,29.0,132.0,Madera,441.3,Baja Definitiva,2000-02-02,Santander,Cantabria,Cantabria,Arrastre
ESP000000023,JOSE ANGEL,1989-05-10,8.954666666666666,3.622666666666667,Madera,33.1,Baja Definitiva,1993-06-25,Santander,Cantabria,Cantabria,Desconocido
ESP000000024,NADAL,1989-05-10,23.7,63.3,Madera,294.2,Baja Definitiva,1999-03-15,Ceuta,Ceuta,Ceuta,Cerco
ESP000000025,AVENIDA SOTILEZA,1989-05-10,12.3,10.36,Madera,88.26,Baja Definitiva,2001-07-12,Comillas,Cantabria,Cantabria,Palangre
ESP000000026,CHAROLAIS,1989-05-10,30.8,202.0,Acero,397.17,Baja Definitiva,2007-02-14,Santander,Cantabria,Cantabria,Arrastre
ESP000000027,DOS PRIMAS,1989-05-10,9.52,4.153333333333333,Madera,29.42,Baja Definitiva,1991-12-19,Santander,Cantabria,Cantabria,Palangre
ESP000000028,CARBAL PRIMERO,1989-05-10,31.85,241.0,Acero,441.3,Baja Definitiva,2010-11-02,Vigo,Pontevedra,Galicia,Artes fijas
ESP000000029,JOSE LUIS,1989-05-10,9.063999999999998,4.44,Madera,29.42,Baja Definitiva,2001-06-07,Laredo,Cantabria,Cantabria,Artes menores
ESP000000030,NUEVO FLIPPER,1989-05-10,16.566,30.6,Madera,143.42,Baja Definitiva,2001-07-03,Cillero,Lugo,Galicia,Palangre
ESP000000031,ELORZA,1989-05-10,12.2,16.448,Madera,88.26,Baja Definitiva,1991-06-12,Santander,Cantabria,Cantabria,Palangre
ESP000000032,FRANPER,1989-05-10,28.0,416.0,Acero,360.39,Baja Definitiva,2000-01-19,Santander,Cantabria,Cantabria,Artes fijas
ESP000000033,SOTERO,1989-05-10,10.25,4.25,Madera,48.54,Baja Definitiva,1997-06-18,Andraitx,Illes balears,Illes balears,Palangre
ESP000000035,MANUEL MARINO,1989-05-10,23.1,81.18733333333333,Madera,316.26,Baja Definitiva,1991-11-13,Santander,Cantabria,Cantabria,Arrastre
ESP000000036,SIEMPRE ROSINA ANGEL,1989-05-10,26.76,130.0,Madera,514.85,Baja Definitiva,1998-03-18,Santa Eugenia de Riveira,A Coruña,Galicia,Arrastre
ESP000000037,COSTAS BEIVIDE SEGUNDO,1989-05-10,18.2,30.0,Madera,139.74,Baja Definitiva,2002-04-25,Arrecife de Lanzarote,Las Palmas,Canarias,Artes menores
ESP000000038,MARIA DE LOS DOLORES,1989-05-10,10.4,5.387333333333332,Madera,46.34,Baja Definitiva,1991-12-17,Lastres,Asturias,Asturias,Palangre
ESP000000040,TRINIDO,1989-05-10,15.149333333333335,21.42,Madera,127.98,Baja Definitiva,1996-06-10,Santander,Cantabria,Cantabria,Palangre
ESP000000041,CARMEN,1989-05-10,10.25,4.25,Madera,44.13,Baja Definitiva,2000-03-28,Santander,Cantabria,Cantabria,Artes menores
ESP000000042,VISI,1989-05-10,7.05,1.46,Madera,25.74,Baja Definitiva,2014-05-22,Santander,Cantabria,Cantabria,Artes menores
ESP000000043,SAN FRANCISCO JAVIER I,1989-05-10,11.5,6.43,Madera,69.14,Baja Definitiva,2000-02-17,Santander,Cantabria,Cantabria,Artes menores
ESP000000044,ESTEFANIA,1989-05-10,5.177333333333333,1.78,Madera,6.62,Baja Definitiva,1995-05-23,Lequeitio,Bizkaia,País Vasco,Artes menores
ESP000000047,MAKALLO,1989-05-10,7.4,1.89,Madera,21.33,Baja Definitiva,2002-01-30,Santurce,Bizkaia,País Vasco,Artes menores
ESP000000054,DOS AMIGOS,1989-05-10,10.123999999999999,7.416666666666667,Madera,47.81,Baja Definitiva,1993-09-03,Guetaria,Gipuzkoa,País Vasco,Artes fijas
ESP000000055,AMA ANITA,1989-05-10,9.22,3.23,Madera,46.34,Baja Definitiva,2004-12-10,Santoña,Cantabria,Cantabria,Artes menores
ESP000000058,ARRITXU,1989-05-10,12.4,10.95,Madera,94.14,Baja Definitiva,2003-04-10,Lequeitio,Bizkaia,País Vasco,Artes menores
ESP000000061,JESUSEN BIOTZA,1989-05-10,5.84,0.91,Madera,6.62,Baja Definitiva,2000-05-03,Lequeitio,Bizkaia,País Vasco,Artes menores
ESP000000063,BETI UR TXORIA,1989-05-10,13.65,10.76,Madera,100.76,Baja Definitiva,2005-07-27,Ceuta,Ceuta,Ceuta,Artes menores
ESP000000069,MIKEL DEUNA,1989-05-10,13.13,15.38,Madera,94.14,Baja Definitiva,2004-06-15,Ceuta,Ceuta,Ceuta,Artes menores
ESP000000071,SIEMPRE ANTIGUAKO AMA,1989-05-10,27.6,199.28,Madera,367.75,Baja Definitiva,1995-04-03,Lequeitio,Bizkaia,País Vasco,Cerco
ESP000000073,CARLOS,1989-05-10,12.4,9.39,Madera,44.13,Baja Definitiva,1996-11-12,Lequeitio,Bizkaia,País Vasco,Palangre
ESP000000079,GRAN MONTSERRAT,1989-05-10,22.5,93.0,Madera,330.97,Baja Definitiva,2002-10-01,Lequeitio,Bizkaia,País Vasco,Cerco
ESP000000080,VIRGEN DE DORLETA,1989-05-10,21.617333333333328,96.0,Madera,220.65,Baja Definitiva,1999-06-25,Lequeitio,Bizkaia,País Vasco,Cerco
ESP000000082,FARO DE SANTA CATALINA,1989-05-10,26.02,75.3,Madera,268.46,Baja Definitiva,2004-01-08,Lequeitio,Bizkaia,País Vasco,Cerco
ESP000000083,PLAYA DE ONDARZABAL,1989-05-10,26.1,116.0,Madera,312.59,Baja Definitiva,2002-04-22,Lequeitio,Bizkaia,País Vasco,Cerco
ESP000000086,VIRGEN DE ARNOTEGUI,1989-05-10,28.0,121.0,Madera,514.85,Baja Definitiva,1999-07-22,Las Palmas - Puerto de la Luz,Las Palmas,Canarias,Artes menores
ESP000000089,VENUS,1989-05-10,6.600666666666668,1.62,Madera,9.56,Baja Definitiva,2000-05-03,Lequeitio,Bizkaia,País Vasco,Artes menores
ESP000000091,SANTA MARIA DEL OLVIDO,1989-05-10,13.14,9.82,Madera,75.02,Baja Definitiva,2002-07-01,Lequeitio,Bizkaia,País Vasco,Artes menores
ESP000000092,TORRONTERO,1989-05-10,20.7,73.4,Madera,268.46,Baja Definitiva,1997-05-06,Santoña,Cantabria,Cantabria,Cerco
ESP000000094,GURE SANTA MARIA,1989-05-10,28.2,131.0,Madera,312.59,Baja Definitiva,2004-06-24,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000095,AMAYA REYES,1989-05-10,24.229333333333333,85.67466666666665,Madera,242.71,Baja Definitiva,1992-10-21,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000096,AIRES DE BERMEO,1989-05-10,24.229333333333333,85.67466666666665,Madera,242.71,Baja Definitiva,1994-04-29,Santoña,Cantabria,Cantabria,Cerco
ESP000000097,NUEVO ROSARIO DE SANTA FE,1989-05-10,21.125333333333334,73.124,Madera,205.94,Baja Definitiva,1993-02-11,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000098,HERMANOS BULUBASTER,1989-05-10,28.683333333333337,180.994,Madera,397.17,Baja Definitiva,1993-01-21,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000099,OSTADAR,1989-05-10,31.22,136.0,Madera,459.69,Baja Definitiva,2002-07-10,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000100,IZAR ARTE,1989-05-10,26.0,95.8,Madera,242.71,Baja Definitiva,2003-03-20,Arrecife de Lanzarote,Las Palmas,Canarias,Artes menores
ESP000000101,JOHN F KENNEDY,1989-05-10,23.0,104.0,Madera,279.49,Baja Definitiva,1998-11-03,Lequeitio,Bizkaia,País Vasco,Cerco
ESP000000102,PEÑA AKATZ,1989-05-10,31.51,122.0,Madera,514.85,Baja Definitiva,2002-01-14,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000103,NUEVO ESTELA MARIS,1989-05-10,26.489333333333338,92.0,Madera,242.71,Baja Definitiva,1995-02-14,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000104,TALAPE,1989-05-10,28.0,132.0,Madera,371.43,Baja Definitiva,2004-04-26,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000105,GRAN PALOMA DE LA PAZ,1989-05-10,24.229333333333333,85.67466666666665,Madera,242.71,Baja Definitiva,1992-10-21,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000106,ARRANTZALE,1989-05-10,28.7,146.67,Madera,353.04,Baja Definitiva,2002-04-09,Fuenterrabia,Gipuzkoa,País Vasco,Cerco
ESP000000107,ARQUIMEDES,1989-05-10,29.0,117.0,Madera,279.49,Baja Definitiva,2004-04-13,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000108,NUEVO ERREÑEZUBI,1989-05-10,34.38,144.0,Madera,312.59,Baja Definitiva,2013-01-08,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000109,GURE CITA,1989-05-10,28.967333333333336,140.0,Madera,496.46,Baja Definitiva,2000-09-18,Fuenterrabia,Gipuzkoa,País Vasco,Cerco
ESP000000110,CAPRICHO VASCO,1989-05-10,26.5,106.0,Madera,235.36,Baja Definitiva,2002-10-24,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,Desconocido
ESP000000111,IRIARTE,1989-05-10,15.4,32.22,Madera,139.74,Baja Definitiva,2000-03-27,Ondarroa,Bizkaia,País Vasco,Palangre
ESP000000112,NUEVO BRISAS DE TORRONTERO,1989-05-10,30.06,113.0,Madera,232.42,Baja Definitiva,2007-02-28,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000113,SANTO NIÑO DEL REMEDIO,1989-05-10,26.07933333333333,106.0,Madera,367.75,Baja Definitiva,1999-03-03,Algeciras,Cádiz,Andalucía,Desconocido
ESP000000114,ORTUBE,1989-05-10,37.9,182.0,Madera,514.85,Baja Definitiva,2002-05-30,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000115,OTZARRI,1989-05-10,14.8,13.326666666666666,Madera,94.14,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000116,BETI SAN JUAN DE LUZ,1989-05-10,18.5,42.205999999999996,Madera,136.07,Baja Definitiva,1992-04-03,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000117,ALKARTASUNA,1989-05-10,16.0,23.83,Madera,117.68,Baja Definitiva,2003-12-10,Lastres,Asturias,Asturias,Palangre
ESP000000118,EGUN ARGIA,1989-05-10,19.0,46.25666666666667,Madera,139.74,Baja Definitiva,1993-03-01,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000119,DIVINA PASTORA,1989-05-10,28.3,137.78,Madera,312.59,Baja Definitiva,2004-09-29,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000120,ALTO DE OIZ,1989-05-10,25.08,100.0,Madera,397.17,Baja Definitiva,1995-02-21,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000122,SALVADOR DIVINO,1989-05-10,29.64,125.0,Madera,378.78,Baja Definitiva,2000-09-19,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000123,SIEMPRE GURE LOREA,1989-05-10,27.0,126.03,Madera,371.43,Baja Definitiva,2009-06-16,Arrecife de Lanzarote,Las Palmas,Canarias,Artes menores
ESP000000124,MAITASUNA,1989-05-10,23.376666666666672,118.74533333333332,Madera,312.59,Baja Definitiva,1993-02-04,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000125,IZAR ALDE,1989-05-10,34.2,175.0,Madera,588.24,Alta Definitiva,1989-05-10,Arrecife de Lanzarote,Las Palmas,Canarias,Cañeros
ESP000000126,ALBACORA OCHO,1989-05-10,32.7,202.0,Madera,514.85,Baja Definitiva,2004-05-04,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000127,ONDARTZAPE,1989-05-10,28.87,138.0,Madera,367.75,Baja Definitiva,2008-06-19,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000128,MADRE DE ALBONIGA,1989-05-10,29.37933333333334,192.99866666666665,Madera,353.04,Baja Definitiva,1992-10-21,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000129,NUEVO GRAN SAN AGUSTIN,1989-05-10,26.37466666666667,144.33733333333333,Madera,349.36,Baja Definitiva,1992-12-03,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000130,BETI ANDUIZA,1989-05-10,18.5,42.205999999999996,Madera,136.07,Baja Definitiva,1993-03-01,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000131,DIOS TE SALVE,1989-05-10,27.0,130.0,Madera,308.91,Baja Definitiva,2008-06-30,Fuenterrabia,Gipuzkoa,País Vasco,Cerco
ESP000000132,PASEO BASTARRE,1989-05-10,30.127999999999997,116.0,Madera,514.85,Baja Definitiva,2000-05-22,Fuenterrabia,Gipuzkoa,País Vasco,Cerco
ESP000000133,TORRE QUITINA,1989-05-10,34.7,140.0,Madera,294.2,Baja Definitiva,1995-06-01,Colindres,Cantabria,Cantabria,Cerco
ESP000000134,LEZOKO GURUTZE,1989-05-10,32.4,135.0,Madera,441.3,Baja Definitiva,2005-06-08,Ceuta,Ceuta,Ceuta,Cerco
ESP000000135,IZURDIA,1989-05-10,12.129333333333332,27.21,Madera,88.26,Baja Definitiva,1999-09-23,San Vicente de la Barquera,Cantabria,Cantabria,Palangre
ESP000000136,JON ANE MIREN,1989-05-10,18.35,40.0,Madera,169.16,Baja Definitiva,2002-07-05,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000137,NUESTRO SOL,1989-05-10,15.6,22.61466666666667,Madera,117.68,Baja Definitiva,1992-06-24,Aviles,Asturias,Asturias,Palangre
ESP000000138,ASKATASUNA,1989-05-10,19.25,42.634,Madera,169.16,Baja Definitiva,1991-12-19,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000139,ILLARGI,1989-05-10,32.62,171.0,Madera,551.62,Baja Definitiva,1997-05-13,Santoña,Cantabria,Cantabria,Cerco
ESP000000140,ITXAS LOREA,1989-05-10,16.15,24.0,Madera,117.68,Baja Definitiva,2003-04-10,Bermeo,Bizkaia,País Vasco,Artes menores
ESP000000141,LAYUNO ZALLO,1989-05-10,18.64,37.32,Madera,125.0,Alta Definitiva,1989-05-10,Puerto del Carmen,Las Palmas,Canarias,Cañeros
ESP000000142,KRESAL GANE,1989-05-10,13.8,14.8,Madera,91.94,Baja Definitiva,1999-03-03,Lastres,Asturias,Asturias,Artes fijas
ESP000000143,BIOTZ ALAI,1989-05-10,14.52,25.36,Madera,117.68,Baja Definitiva,1995-12-01,Fuenterrabia,Gipuzkoa,País Vasco,Palangre
ESP000000144,GURE EUZKALERRIA,1989-05-10,17.4,22.61466666666667,Madera,117.68,Baja Definitiva,1991-12-19,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000145,SAN LUIS TXIKIA,1989-05-10,18.96,47.0,Madera,264.78,Baja Definitiva,2008-09-19,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000146,LAZARA Y LARRAURI,1989-05-10,27.62,101.0,Madera,183.87,Baja Definitiva,2003-02-17,Arrecife de Lanzarote,Las Palmas,Canarias,Cerco
ESP000000147,MIRANDO AL MAR,1989-05-10,13.978666666666669,24.61,Madera,94.14,Baja Definitiva,1996-03-25,Camariñas,A Coruña,Galicia,Palangre
ESP000000148,IBARLUCEA URQUIDI,1989-05-10,12.0,11.101333333333333,Madera,51.48,Baja Definitiva,1990-12-28,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000149,SANTO DOMINGO,1989-05-10,11.92,6.35,Madera,44.13,Baja Definitiva,2012-02-21,Mahón,Illes balears,Illes balears,Palangre
ESP000000150,HORIZONTE,1989-05-10,12.0,7.582666666666668,Madera,50.01,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000151,HERMANOS URIBARRI,1989-05-10,10.8,5.65,Madera,73.55,Baja Definitiva,2004-03-08,Ribadesella,Asturias,Asturias,Artes menores
ESP000000152,SAN CRISTOBAL,1989-05-10,23.0,109.5,Madera,205.94,Baja Definitiva,2006-09-06,Aviles,Asturias,Asturias,Cerco
ESP000000153,PEÑA DE ORO,1989-05-10,23.498666666666665,113.66,Madera,250.07,Baja Definitiva,1998-12-03,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000154,NUEVO PILAR,1989-05-10,12.94,8.97,Madera,73.55,Baja Definitiva,2004-11-02,Ceuta,Ceuta,Ceuta,Artes fijas
ESP000000155,AINHOA,1989-05-10,9.5,3.6286666666666667,Madera,28.68,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000156,PEÑA DE UGUERRI,1989-05-10,27.3,122.77333333333333,Madera,312.59,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Cerco
ESP000000157,ABERTZALEAK,1989-05-10,15.5,21.494000000000003,Madera,91.94,Baja Definitiva,1991-12-31,Santander,Cantabria,Cantabria,Palangre
ESP000000158,BETI AZCARATE,1989-05-10,15.5,21.73466666666667,Madera,99.29,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000160,CORAZON DIVINO,1989-05-10,14.450666666666667,21.7,Madera,91.94,Baja Definitiva,1995-09-06,Pasajes,Gipuzkoa,País Vasco,Palangre
ESP000000161,ZARANDONA,1989-05-10,14.95,15.39,Madera,94.14,Baja Definitiva,1999-04-08,Santander,Cantabria,Cantabria,Artes menores
ESP000000162,JEHOVA,1989-05-10,14.3,23.01,Madera,91.94,Baja Definitiva,2001-08-07,Carboneras,Almería,Andalucía,Palangre
ESP000000163,JOVEN LUIS FERNANDO,1989-05-10,12.56,9.67,Madera,69.14,Baja Definitiva,2001-08-29,Bermeo,Bizkaia,País Vasco,Artes menores
ESP000000164,ZERUKO ARTZAIN,1989-05-10,13.8,15.2,Madera,91.94,Baja Definitiva,1998-02-05,Santander,Cantabria,Cantabria,Palangre
ESP000000165,JATA MENDI,1989-05-10,15.3,21.69333333333333,Madera,91.94,Baja Definitiva,1991-12-19,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000166,IZAR ARGUIA,1989-05-10,14.9,25.361333333333334,Madera,117.68,Baja Definitiva,1991-12-19,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000167,GURE TARASKA,1989-05-10,16.3,13.300000000000002,Madera,94.14,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000168,LEPORRE,1989-05-10,13.8,20.66,Madera,94.14,Baja Definitiva,1998-10-08,Fuenterrabia,Gipuzkoa,País Vasco,Palangre
ESP000000169,MARIA LEPORRE,1989-05-10,15.1,20.398666666666664,Madera,91.94,Baja Definitiva,1991-12-19,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000170,ABASOLO,1989-05-10,15.0,19.0,Madera,94.14,Baja Definitiva,2006-05-29,Bermeo,Bizkaia,País Vasco,Artes menores
ESP000000171,PEÑA DE LA GUIA,1989-05-10,14.6,22.614666666666665,Madera,117.68,Baja Definitiva,1991-12-31,Marin,Pontevedra,Galicia,Palangre
ESP000000172,ZUBEROA,1989-05-10,16.5,29.282666666666668,Madera,117.68,Baja Definitiva,1993-03-12,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000173,CHISU,1989-05-10,13.8,24.5,Madera,94.14,Baja Definitiva,1996-06-20,Laredo,Cantabria,Cantabria,Palangre
ESP000000175,ERROSAPE,1989-05-10,15.9,22.753333333333334,Madera,117.68,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000176,NAIARA,1989-05-10,16.5,13.344000000000001,Madera,94.14,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000177,GARRO,1989-05-10,16.5,23.0,Madera,94.14,Baja Definitiva,2001-01-18,Fuenterrabia,Gipuzkoa,País Vasco,Artes menores
ESP000000178,ANA BEGO,1989-05-10,17.0,13.802000000000001,Madera,94.14,Baja Definitiva,1991-12-19,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000179,ZUBI EDER,1989-05-10,16.2,31.21,Madera,117.68,Baja Definitiva,2000-05-03,Carboneras,Almería,Andalucía,Palangre
ESP000000180,LA FLOR DEL MAR,1989-05-10,14.190666666666667,28.29,Madera,95.61,Baja Definitiva,2000-02-02,Campello,Alicante,Comunitat Valenciana,Palangre
ESP000000181,AIKAFE,1989-05-10,13.948666666666668,33.522,Madera,117.68,Baja Definitiva,1990-01-20,Carboneras,Almería,Andalucía,Palangre
ESP000000182,BELARRIKO,1989-05-10,16.7,32.29,Madera,139.74,Baja Definitiva,1999-04-26,Carboneras,Almería,Andalucía,Palangre
ESP000000183,IBAI GANE,1989-05-10,16.0,23.260666666666665,Madera,117.68,Baja Definitiva,1991-12-19,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000184,ZER DAKAR,1989-05-10,17.34,26.0,Madera,169.16,Baja Definitiva,2003-04-24,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000185,ITXARON IZARRA,1989-05-10,17.1,29.0,Madera,110.32,Baja Definitiva,2011-09-20,Cartagena,Murcia,Murcia,Palangre
ESP000000186,ALBI,1989-05-10,10.5,5.925333333333334,Madera,44.13,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000187,GANDASEGUI,1989-05-10,17.8,23.740000000000002,Madera,117.68,Baja Definitiva,1993-03-01,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000188,ALTO DE UMBE,1989-05-10,19.0,36.0,Madera,132.39,Baja Definitiva,2006-02-17,Bermeo,Bizkaia,País Vasco,Artes menores
ESP000000189,DIECISIETE HERMANOS,1989-05-10,7.848666666666666,8.03,Madera,19.86,Baja Definitiva,1995-04-10,Comillas,Cantabria,Cantabria,Palangre
ESP000000190,LEIBAR,1989-05-10,6.498666666666666,2.96,Madera,8.83,Baja Definitiva,1997-01-28,Mundaca,Bizkaia,País Vasco,Artes menores
ESP000000191,SUKARRIETA,1989-05-10,16.38,35.50666666666666,Madera,169.16,Baja Definitiva,1991-06-24,Castro Urdiales,Cantabria,Cantabria,Palangre
ESP000000192,FRANCISCO JORGE,1989-05-10,17.89,26.0,Madera,176.52,Baja Definitiva,2007-05-21,Bermeo,Bizkaia,País Vasco,Artes menores
ESP000000193,AMA BEGOÑAKOA,1989-05-10,16.0,16.93,Madera,94.14,Baja Definitiva,2002-06-24,Comillas,Cantabria,Cantabria,Artes menores
ESP000000194,LAGUN BI,1989-05-10,20.2,56.0,Madera,264.78,Baja Definitiva,2006-05-22,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000195,BETI LAGUNAK,1989-05-10,20.2,54.0,Madera,202.26,Baja Definitiva,2009-11-20,Bermeo,Bizkaia,País Vasco,Artes menores
ESP000000196,ABERRI,1989-05-10,16.4,13.225999999999997,Madera,94.14,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000197,LA SAGRADA FAMILIA,1989-05-10,12.1,5.2459999999999996,Madera,33.1,Baja Definitiva,1993-11-05,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000199,HERMANOS JOSE ANGEL,1989-05-10,13.0,9.55,Madera,67.67,Baja Definitiva,1997-01-28,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000200,LARTITEGUI,1989-05-10,14.5,12.79,Madera,94.14,Baja Definitiva,2005-05-11,Ceuta,Ceuta,Ceuta,Artes menores
ESP000000201,ZABALETA,1989-05-10,12.757333333333333,18.17,Madera,99.29,Baja Definitiva,1995-02-09,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000202,NUEVO FLORIAN,1989-05-10,15.0,15.924,Madera,79.43,Baja Definitiva,1991-12-05,Bermeo,Bizkaia,País Vasco,Palangre
ESP000000203,MARIA LOURDES SEGUNDO,1989-05-10,5.937333333333333,1.5946666666666665,Madera,8.83,Baja Definitiva,1991-12-31,Mundaca,Bizkaia,País Vasco,Desconocido
ESP000000204,PADRE DE LA CRUZ,1989-05-10,15.0,27.82,Madera,95.61,Baja Definitiva,1997-01-15,Cudillero,Asturias,Asturias,Palangre
ESP000000205,GUREA,1989-05-10,9.692666666666666,4.16,Madera,50.01,Baja Definitiva,1997-01-31,Bermeo,Bizkaia,País Vasco,Palangre
