cfr,nombre,fc_alta_rgfp,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,fc_estado,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte
ESP000007591,NUESTRA SEÑORA DEL MANZANO,1989-05-10,18.3,62.03399999999999,Madera,264.78,Baja Definitiva,1990-11-20,Pasajes,Gipuzkoa,País Vasco,Desconocido
ESP000007592,CONCHEIRO,1989-05-10,38.26,280.03,Acero,882.6,Baja Definitiva,2006-10-16,Pasajes,Gipuzkoa,País Vasco,Arrastre
ESP000007593,PUENTE DE VARGAS,1989-05-10,34.8,233.94933333333333,Acero,441.3,Baja Definitiva,1993-11-22,Pasajes,Gipuzkoa,País Vasco,Desconocido
ESP000007594,RAMON,1989-05-10,36.8,335.0,Acero,882.6,Baja Definitiva,2006-11-08,Ceuta,Ceuta,Ceuta,Artes fijas
ESP000007595,ISTURIZ,1989-05-10,8.5,4.860666666666668,Madera,36.77,Baja Definitiva,1990-12-28,Pasajes,Gipuzkoa,País Vasco,Palangre
ESP000007596,SIEMPRE GOYENECHEA,1989-05-10,9.996,5.296666666666666,Madera,50.01,Baja Definitiva,1993-10-20,Orio,Gipuzkoa,País Vasco,Palangre
ESP000007598,SANTA CRUZ,1989-05-10,17.912,44.036666666666676,Madera,147.1,Baja Definitiva,1991-11-27,Pasajes,Gipuzkoa,País Vasco,Palangre
ESP000007599,TIFON,1989-05-10,12.5,12.925999999999998,Madera,94.14,Baja Definitiva,1992-06-24,Pasajes,Gipuzkoa,País Vasco,Palangre
ESP000007600,URKO MENDI,1989-05-10,40.5,403.0,Acero,869.36,Baja Definitiva,1996-12-05,Las Palmas - Puerto de la Luz,Las Palmas,Canarias,Desconocido
ESP000007602,VIRGEN DEL CABO,1989-05-10,61.12,988.0,Acero,1471.0,Baja Definitiva,2006-11-08,Ceuta,Ceuta,Ceuta,Arrastre
ESP000007603,VIRGEN DEL CAMINO,1989-05-10,61.12,988.0,Acero,1471.0,Baja Definitiva,2006-11-16,Ceuta,Ceuta,Ceuta,Arrastre
